idx,task,arm,pair,order_in_pair,t_start_utc,t_task_utc,t_end_utc,log,wire_lines,end_col,rc,errors,note
0,R1,A,1,first,2026-09-10 20:21:29,2026-09-10 20:21:30,2026-09-10 20:22:28,C:\Users\LM\.keel\sessions\871a49f838436aef\22017e75f6d6ca56.jsonl,12,completion,0,,
1,R1,B,1,second,2026-09-10 20:22:28,2026-09-10 20:22:30,2026-09-10 20:22:48,C:\Users\LM\.keel\sessions\c0939590b01ec28e\bcd0b3bd836e8ff0.jsonl,10,completion,0,,
2,R1,B,2,first,2026-09-10 20:22:49,2026-09-10 20:22:50,2026-09-10 20:23:07,C:\Users\LM\.keel\sessions\353382d93c134cd1\4732520958500c57.jsonl,12,completion,0,,
3,R1,A,2,second,2026-09-10 20:23:07,2026-09-10 20:23:09,2026-09-10 20:23:16,C:\Users\LM\.keel\sessions\d6d770c8107d6108\1d3ed0c4aad8337e.jsonl,8,completion,0,,
4,R1,A,3,first,2026-09-10 20:23:16,2026-09-10 20:23:18,2026-09-10 20:23:27,C:\Users\LM\.keel\sessions\0528a6fceb43cac4\50f300144e50e351.jsonl,8,completion,0,,
5,R1,B,3,second,2026-09-10 20:23:27,2026-09-10 20:23:29,2026-09-10 20:23:45,C:\Users\LM\.keel\sessions\58d104811fb2c5e2\93d07dd536fcd190.jsonl,14,completion,0,,
6,R1,B,4,first,2026-09-10 20:23:45,2026-09-10 20:23:46,2026-09-10 20:24:45,C:\Users\LM\.keel\sessions\f33e37651b28c2c5\a512bbcc9919e7ce.jsonl,20,completion,0,,
7,R1,A,4,second,2026-09-10 20:24:45,2026-09-10 20:24:46,2026-09-10 20:24:59,C:\Users\LM\.keel\sessions\e9fbd5f7d54243ab\dd13ab2febb8cd25.jsonl,8,completion,0,,
8,R1,A,5,first,2026-09-10 20:24:59,2026-09-10 20:25:00,2026-09-10 20:25:09,C:\Users\LM\.keel\sessions\2ebdd2863a286c2d\2c25aa199df6e97d.jsonl,6,completion,0,,
9,R1,B,5,second,2026-09-10 20:25:09,2026-09-10 20:25:10,2026-09-10 20:25:31,C:\Users\LM\.keel\sessions\fb6574d3621a823b\1094007d7a44cdb7.jsonl,14,completion,0,,
10,R1,B,6,first,2026-09-10 20:25:31,2026-09-10 20:25:33,2026-09-10 20:25:51,C:\Users\LM\.keel\sessions\8532c931d282f4a8\7339f4da92033136.jsonl,12,completion,0,,
11,R1,A,6,second,2026-09-10 20:25:51,2026-09-10 20:25:53,2026-09-10 20:26:12,C:\Users\LM\.keel\sessions\dc0a354cbba691d8\a726b57a433daaf5.jsonl,12,completion,0,,
12,R1,A,7,first,2026-09-10 20:26:12,2026-09-10 20:26:13,2026-09-10 20:26:38,C:\Users\LM\.keel\sessions\799004098f429d78\a9e5ddfed0b2834b.jsonl,22,completion,0,,
13,R1,B,7,second,2026-09-10 20:26:38,2026-09-10 20:26:39,2026-09-10 20:27:13,C:\Users\LM\.keel\sessions\3d50ca4a5d2903c1\80fe63927a7abad4.jsonl,18,completion,0,,
14,R1,B,8,first,2026-09-10 20:27:13,2026-09-10 20:27:15,2026-09-10 20:27:36,C:\Users\LM\.keel\sessions\0747674f82fae7bd\eaf8ef7b8299a37f.jsonl,14,completion,0,,
15,R1,A,8,second,2026-09-10 20:27:37,2026-09-10 20:27:38,2026-09-10 20:28:17,C:\Users\LM\.keel\sessions\13043cf25b035893\57b30f129bfeb732.jsonl,24,completion,0,,
16,R1,A,9,first,2026-09-10 20:28:17,2026-09-10 20:28:18,2026-09-10 20:28:31,C:\Users\LM\.keel\sessions\4364b755074b6f5f\a094b2d73cb7ff03.jsonl,8,completion,0,,
17,R1,B,9,second,2026-09-10 20:28:31,2026-09-10 20:28:32,2026-09-10 20:29:03,C:\Users\LM\.keel\sessions\0a3e3b3bf468ba4b\ede519beb03b8206.jsonl,12,completion,0,,
18,R1,B,10,first,2026-09-10 20:29:03,2026-09-10 20:29:04,2026-09-10 20:29:14,C:\Users\LM\.keel\sessions\08ce4d1ed8a688b0\87cea8394ad3ef96.jsonl,8,completion,0,,
19,R1,A,10,second,2026-09-10 20:29:14,2026-09-10 20:29:16,2026-09-10 20:29:22,C:\Users\LM\.keel\sessions\16731b16f6d901c3\a0367cd75160324e.jsonl,6,completion,0,,
20,R2,A,1,first,2026-09-10 20:29:22,2026-09-10 20:29:24,2026-09-10 20:29:29,C:\Users\LM\.keel\sessions\088dfc85d6116b97\a1d57ca510628289.jsonl,4,completion,0,,
21,R2,B,1,second,2026-09-10 20:29:29,2026-09-10 20:29:30,2026-09-10 20:29:36,C:\Users\LM\.keel\sessions\9166c2ac27b9a558\ba9576cdab2a4dfd.jsonl,4,completion,0,,
22,R2,B,2,first,2026-09-10 20:29:36,2026-09-10 20:29:38,2026-09-10 20:29:45,C:\Users\LM\.keel\sessions\822f8bf4d0c786a1\00e21d6aa576819e.jsonl,4,completion,0,,
23,R2,A,2,second,2026-09-10 20:29:45,2026-09-10 20:29:47,2026-09-10 20:29:53,C:\Users\LM\.keel\sessions\a9016ea7d3ad0755\063fd226f1a1140a.jsonl,4,completion,0,,
24,R2,A,3,first,2026-09-10 20:29:53,2026-09-10 20:29:55,2026-09-10 20:30:01,C:\Users\LM\.keel\sessions\b954d13a831df9ba\b1f2a1d346139b26.jsonl,4,completion,0,,
25,R2,B,3,second,2026-09-10 20:30:01,2026-09-10 20:30:03,2026-09-10 20:30:08,C:\Users\LM\.keel\sessions\97112ef71e80106e\cf044bd1b732513d.jsonl,4,completion,0,,
26,R2,B,4,first,2026-09-10 20:30:08,2026-09-10 20:30:10,2026-09-10 20:30:15,C:\Users\LM\.keel\sessions\64d1e2766858dbce\cf870b72ebcad263.jsonl,4,completion,0,,
27,R2,A,4,second,2026-09-10 20:30:16,2026-09-10 20:30:17,2026-09-10 20:30:25,C:\Users\LM\.keel\sessions\d50f3c89dbe90516\ebabb2a92e04723e.jsonl,6,completion,0,,
28,R2,A,5,first,2026-09-10 20:30:25,2026-09-10 20:30:27,2026-09-10 20:30:31,C:\Users\LM\.keel\sessions\30c7d21956ec27b0\18edfbfc4df7bc2b.jsonl,4,completion,0,,
29,R2,B,5,second,2026-09-10 20:30:31,2026-09-10 20:30:33,2026-09-10 20:30:39,C:\Users\LM\.keel\sessions\2817630d47eed4ff\0a71617026978f31.jsonl,4,completion,0,,
30,R2,B,6,first,2026-09-10 20:30:39,2026-09-10 20:30:41,2026-09-10 20:30:59,C:\Users\LM\.keel\sessions\7cbc767ca72fef7f\af989c5b3021bd84.jsonl,10,completion,0,,
31,R2,A,6,second,2026-09-10 20:30:59,2026-09-10 20:31:00,2026-09-10 20:31:07,C:\Users\LM\.keel\sessions\fb705f3368eb3837\c243f0f1b68c8aea.jsonl,6,completion,0,,
32,R2,A,7,first,2026-09-10 20:31:07,2026-09-10 20:31:08,2026-09-10 20:31:13,C:\Users\LM\.keel\sessions\350e7f56b9fa988c\673650ea8ffd783c.jsonl,4,completion,0,,
33,R2,B,7,second,2026-09-10 20:31:13,2026-09-10 20:31:14,2026-09-10 20:31:21,C:\Users\LM\.keel\sessions\27740c22d8293901\9def9adeffcf0110.jsonl,4,completion,0,,
34,R2,B,8,first,2026-09-10 20:31:21,2026-09-10 20:31:23,2026-09-10 20:31:29,C:\Users\LM\.keel\sessions\32271337ca93d657\078512acc8f73d1c.jsonl,4,completion,0,,
35,R2,A,8,second,2026-09-10 20:31:30,2026-09-10 20:31:31,2026-09-10 20:31:38,C:\Users\LM\.keel\sessions\f4f5ee93ef4ab1d3\fa25d2b7cf8aa23f.jsonl,4,completion,0,,
36,R2,A,9,first,2026-09-10 20:31:38,2026-09-10 20:31:40,2026-09-10 20:31:45,C:\Users\LM\.keel\sessions\14784189bb83f7ab\e22675a299fabb7e.jsonl,4,completion,0,,
37,R2,B,9,second,2026-09-10 20:31:45,2026-09-10 20:31:46,2026-09-10 20:31:51,C:\Users\LM\.keel\sessions\99a51e7e9b9ed0f4\ee61e31256942d28.jsonl,4,completion,0,,
38,R2,B,10,first,2026-09-10 20:31:52,2026-09-10 20:31:53,2026-09-10 20:31:58,C:\Users\LM\.keel\sessions\2874220519470319\87d7c64f18efdefc.jsonl,4,completion,0,,
39,R2,A,10,second,2026-09-10 20:31:59,2026-09-10 20:32:00,2026-09-10 20:32:05,C:\Users\LM\.keel\sessions\0de9a76407e89fc8\d5dd3ab6f29860e7.jsonl,4,completion,0,,
40,D1,A,1,first,2026-09-10 20:32:05,2026-09-10 20:32:06,2026-09-10 20:32:34,C:\Users\LM\.keel\sessions\0ef2daafb992c505\35ffa7e1d71f1774.jsonl,12,completion,0,,
41,D1,B,1,second,2026-09-10 20:32:34,2026-09-10 20:32:36,2026-09-10 20:34:07,C:\Users\LM\.keel\sessions\9314571ab98ffdb0\ab0d58d3c530e0fb.jsonl,16,completion,0,,
42,D1,B,2,first,2026-09-10 20:34:07,2026-09-10 20:34:09,2026-09-10 20:34:47,C:\Users\LM\.keel\sessions\5c9cc387ed395b02\e8929b666edaca17.jsonl,16,completion,0,,
43,D1,A,2,second,2026-09-10 20:34:47,2026-09-10 20:34:49,2026-09-10 20:35:34,C:\Users\LM\.keel\sessions\b0941403cb7a0ac5\4cf5cad75eb73d3f.jsonl,12,completion,0,,
44,D1,A,3,first,2026-09-10 20:35:34,2026-09-10 20:35:36,2026-09-10 20:35:52,C:\Users\LM\.keel\sessions\bea8f4c83eb4a446\c2beb8ca542795f0.jsonl,8,completion,0,,
45,D1,B,3,second,2026-09-10 20:35:52,2026-09-10 20:35:54,2026-09-10 20:36:59,C:\Users\LM\.keel\sessions\cce3b8883c5d98a8\adb890eea8adf73b.jsonl,22,completion,0,,
46,D1,B,4,first,2026-09-10 20:36:59,2026-09-10 20:37:00,2026-09-10 20:37:43,C:\Users\LM\.keel\sessions\0eee4a05f6a47db3\05886d7acf6926d2.jsonl,20,completion,0,,
47,D1,A,4,second,2026-09-10 20:37:43,2026-09-10 20:37:45,2026-09-10 20:38:59,C:\Users\LM\.keel\sessions\2175d5f44c7920bc\d07e3c29ad116035.jsonl,18,completion,0,,
48,D1,A,5,first,2026-09-10 20:38:59,2026-09-10 20:39:00,2026-09-10 20:39:23,C:\Users\LM\.keel\sessions\236a0c934c95fc8e\70c2b340b43d9850.jsonl,8,completion,0,,
49,D1,B,5,second,2026-09-10 20:39:23,2026-09-10 20:39:25,2026-09-10 20:39:49,C:\Users\LM\.keel\sessions\b3a0a561735ea9e4\c6a05074ed77a16d.jsonl,14,completion,0,,
50,D1,B,6,first,2026-09-10 20:39:49,2026-09-10 20:39:51,2026-09-10 20:40:42,C:\Users\LM\.keel\sessions\7755ce8f2c5affdd\4f73ab21733117d9.jsonl,24,completion,0,,
51,D1,A,6,second,2026-09-10 20:40:43,2026-09-10 20:40:44,2026-09-10 20:41:03,C:\Users\LM\.keel\sessions\121f3d53a4d35ebc\d14e0e0ba6a90f5c.jsonl,8,completion,0,,
52,D1,A,7,first,2026-09-10 20:41:03,2026-09-10 20:41:04,2026-09-10 20:41:40,C:\Users\LM\.keel\sessions\6ae52564e5b0aa33\b1539416a80ba4e2.jsonl,14,completion,0,,
53,D1,B,7,second,2026-09-10 20:41:40,2026-09-10 20:41:41,2026-09-10 20:42:02,C:\Users\LM\.keel\sessions\d51c582b0a7b33eb\2aaecf12488ae1b7.jsonl,12,completion,0,,
54,D1,B,8,first,2026-09-10 20:42:02,2026-09-10 20:42:03,2026-09-10 20:42:34,C:\Users\LM\.keel\sessions\18b75dcd2d489396\faa895a2d37766bd.jsonl,18,completion,0,,
55,D1,A,8,second,2026-09-10 20:42:34,2026-09-10 20:42:36,2026-09-10 20:43:10,C:\Users\LM\.keel\sessions\92fe8f0d50a02b34\e3312cda77e0779a.jsonl,14,completion,0,,
56,D1,A,9,first,2026-09-10 20:43:10,2026-09-10 20:43:12,2026-09-10 20:44:10,C:\Users\LM\.keel\sessions\3733f1307f5957a4\48d654017494b0b5.jsonl,24,budget,0,error: model-call budget exhausted (max_turns = 12); the run is incomplete; the transcript is kept,
57,D1,B,9,second,2026-09-10 20:44:11,2026-09-10 20:44:12,2026-09-10 20:44:29,C:\Users\LM\.keel\sessions\9fdf01a402261acb\22ceda26e7a103ec.jsonl,6,completion,0,,
58,D1,B,10,first,2026-09-10 20:44:30,2026-09-10 20:44:31,2026-09-10 20:44:49,C:\Users\LM\.keel\sessions\d51e16134ca1b6e0\ab5326981b206410.jsonl,6,completion,0,,
59,D1,A,10,second,2026-09-10 20:44:49,2026-09-10 20:44:51,2026-09-10 20:45:15,C:\Users\LM\.keel\sessions\dbe7a02560ad3905\7480ce52d5bd456e.jsonl,10,completion,0,,
