task,arm,run,end,correct,file_correct,line_ending,model_calls,tool_calls,arg_errors,prog_errors,undetermined,helper_calls,denials_review,sc_with_review,helper_paths,final_text
R1,A,1,completion,True,,,6,8,0,0,0,1,0,0,f.py,42
R1,B,1,completion,False,,,5,4,0,0,0,0,0,0,,8
R1,B,2,completion,True,,,6,5,0,0,0,0,0,0,,42
R1,A,2,completion,True,,,4,3,0,0,0,0,0,0,,42
R1,A,3,completion,True,,,4,3,0,0,0,0,0,0,,42
R1,B,3,completion,True,,,7,6,0,0,0,0,0,0,,42
R1,B,4,completion,True,,,10,10,0,0,0,0,0,0,,42
R1,A,4,completion,True,,,4,4,0,0,0,0,0,0,,42
R1,A,5,completion,True,,,3,2,0,0,0,0,0,0,,42
R1,B,5,completion,True,,,7,6,1,0,0,0,0,0,,42
R1,B,6,completion,True,,,6,5,0,0,0,0,0,0,,42
R1,A,6,completion,True,,,6,5,0,0,0,0,0,0,,42
R1,A,7,completion,True,,,11,11,0,2,0,0,0,0,,42
R1,B,7,completion,True,,,9,8,0,0,0,4,0,0,/Users/LM/Desktop/t25/R1-B-7/tests/test_cli.py;/Users/LM/Desktop/t25/R1-B-7/tests/test_events.py;/Users/LM/Desktop/t25/R1-B-7/tests/test_report.py;/Users/LM/Desktop/t25/R1-B-7/tests/test_state.py;/Users/LM/Desktop/t25/R1-B-7/tests/test_timeutil.py,42
R1,B,8,completion,True,,,7,6,1,0,0,0,0,0,,42
R1,A,8,completion,True,,,12,12,0,0,0,0,0,0,,42
R1,A,9,completion,True,,,4,3,2,0,0,0,0,0,,42
R1,B,9,completion,True,,,6,9,0,0,0,0,0,0,,42
R1,B,10,completion,True,,,4,3,0,0,0,0,0,0,,42
R1,A,10,completion,True,,,3,2,0,0,0,0,0,0,,42
R2,A,1,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,1,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,2,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,2,completion,False,,,2,1,0,0,0,0,0,0,,The SHA-256 digest is:\n\n```\n25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44\n```
R2,A,3,completion,True,,,2,1,0,0,0,1,0,0,/Users/LM/Desktop/t25/R2-A-3/queuewatch/report.py,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,3,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,4,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,4,completion,True,,,3,2,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,5,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,5,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,6,completion,True,,,5,4,0,0,0,3,0,0,/Users/LM/Desktop/t25/R2-B-6/queuewatch/report.py;queuewatch//report.py,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,6,completion,True,,,3,2,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,7,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,7,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,8,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,8,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,9,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,9,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,B,10,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
R2,A,10,completion,True,,,2,1,0,0,0,0,0,0,,25ba9483d9cf0c91b81cd8d6576d2df3f04eff7340157269172891b2d51c1a44
D1,A,1,completion,True,True,False,6,5,0,0,0,0,0,3,,Done. `notes/summary.txt` now contains exactly the required 40 bytes: the line text followed by a single LF， UTF-8 witho
D1,B,1,completion,True,True,False,8,7,0,0,0,0,0,4,,File `notes/summary.txt` is correct:\n\n- 40 bytes， no BOM， UTF-8\n- Content: `She said "it's done" -- path C:\tmp\x y` + L
